Stock Name,Symbol,Industry_O,Industry,Market Cap(Rs. Cr.),Exchange,Last Price,LTPP,LTP,Volume,Chng%,Chg%,Change,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio  (TTM),Price Earning Ratio(TTM),PEG Ratio,Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),52w_high_csv,52w_high,52w_low_csv,52w_low,EPS,,Symbol with Comma for External Upload,EPS_csv,EPS
TD Power Systems Ltd.,TDPOWERSYS,Electric Equipment,Electric Equipment,7047.79,NSE,834,457.4,834,315349,1.34,-0.41,-3.4,2,2024-09,,6814.49,2024-09,1086.72,135.54,2024-09,52,59.34,0.49,9.12,2,2024-03,0,18.08,25.37,0,933,0,318.7,14.05,,"FOCUS,",1,
TeamLease Services Ltd.,TEAMLEASE,Professional Services,Professional Services,5144.61,NSE,1159.9,3058.2,1159.9,17172,-0.27,-3.86,-46.6,2,2024-09,48.06,4722.55,2024-09,10254.01,103.47,2024-09,49.54,14.88,23.59,6.09,2,2024-03,0.04,14.09,15.46,0,2165,0,1065.2,77.97,,"544059,",1,
Teamo Productions HQ Ltd.,TPHQ,Engineering - Construction,Engineering - Construction,280.63,NSE,0.49,2.51,0.49,1823975,-1.95,-2,-0.01,1,2024-09,,280.63,2024-09,503.91,6.63,2024-09,42.33,6.85,0.33,2.07,1,2024-03,0,7.91,9.19,0,1.38,0,0.49,0.07,,"GREENPLY,",1,
Tech Mahindra Ltd.,TECHM,IT - Software,IT - Software,169100.15,NSE,1342.8,1695.95,1342.8,810628,-1.8,-2.96,-41,2,2024-09,967.9,165756,2024-09,52291.3,3295.8,2024-09,51.67,25.77,-4.57,6.38,2,2024-03,0.06,8.89,12.02,0,1854,0,1209.4,52.11,,"534190,",1,
TechEra Engineering India Ltd.,TECHERA,Engineering - Industrial Equipments,Engineering - Industrial Equipments,331.66,NSE,0,204.75,204.75,0,1.99,1.99,0,1,2024-09,16.21,347.87,,,,2024-03,68.77,68.77,,7.68,1,2024-03,0.9,64.33,25.9,0,0,0,0,0,,"HONDAPOWER,",1,
Terai Tea Company Ltd.,TERAI,Tea/Coffee,Tea/Coffee,116.47,BSE,0,172.65,172.65,0,1.98,1.98,0,2,2024-09,32.56,149.03,2023-12,66.51,2.67,2024-03,23.65,23.65,0.26,0.71,2,2024-03,0.21,2.08,3,0,0,0,0,0,,"SUBROS,",1,
Indong Tea Company Ltd.,INDONG,Tea/Coffee,Tea/Coffee,43.58,BSE,0,29.05,29.05,0,,,0,1,2024-09,10.55,53.99,2024-03,21.32,-1.36,2024-03,0,0,,2.43,1,2024-03,0.58,-7.16,-1.31,0,0,0,0,0,,"506003,",1,
Andrew Yule & Company Ltd.,ANDREWYU,Tea/Coffee,Tea/Coffee,1928.42,BSE,0,39.54,39.54,0,0.25,0.25,0,2,2024-09,119.36,1996.56,2024-09,308.24,-39.51,2024-09,0,0,,5.37,2,2024-03,0.34,-17.57,-12.27,0,0,0,0,0,,"SUDARSCHEM,",1,
B&A Ltd.,BNALTD,Tea/Coffee,Tea/Coffee,170.5,BSE,0,570.95,570.95,0,3.81,3.81,0,2,2024-09,69.97,203.81,2024-09,281.87,15.19,2024-09,14.43,14.43,0.95,1.11,2,2024-03,0.37,10.58,12.99,0,0,0,0,0,,"543828,",1,
TechIndia Nirman Ltd.,TECHIN,Engineering - Construction,Engineering - Construction,45.27,NSE,0,31.91,31.91,0,,,0,1,2024-09,93.68,138.95,2024-09,0,-0.66,2024-09,0,0,0,4.01,1,2024-03,6.85,-3.32,-0.42,0,0,0,0,0,,"543324,",1,
Techno Electric & Engineering Company Ltd.,TECHNOE,Engineering - Construction,Engineering - Construction,19647.07,NSE,1103.8,1656.1,1103.8,147250,-2.09,-1.76,-19.8,2,2024-09,,19455.84,2024-09,1582.95,316.89,2024-09,54.31,25.99,8.01,5.61,2,2024-03,0,13.24,16.53,0,1654,0,785.15,42.47,,"GRETEX,",1,
Diana Tea Company Ltd.,DIANATEA,Tea/Coffee,Tea/Coffee,56.53,BSE,0,37.72,37.72,0,0.03,0.03,0,1,2024-09,43.03,99.22,2024-09,68.08,-4.69,2024-09,0,0,0,0.92,1,2024-03,0.56,0.42,3.7,0,0,0,0,0,,,1,
Goodricke Group Ltd.,GOODRICKE,Tea/Coffee,Tea/Coffee,614.41,BSE,0,285.05,285.05,0,0.21,0.21,0,1,2024-09,125.95,722.15,2024-09,930.19,-28.11,2024-09,0,0,,1.96,1,2024-03,0.47,-25.1,-15.35,0,0,0,0,0,,"SUKHJITS,",1,
James Warren Tea Ltd.,JAMESWARREN,Tea/Coffee,Tea/Coffee,147.37,BSE,0,399.9,399.9,0,0.4,0.4,0,1,2024-09,,147.37,2024-09,148.88,34.11,2024-09,4.32,4.32,-0.31,1.11,1,2024-03,0,1.99,1.6,0,0,0,0,0,,"SULA,",1,
Technocraft Industries (India) Ltd.,TIIL,Steel & Iron Products,Steel & Iron Products,6479.09,NSE,2201.6,2900.3,2201.6,6757,1.47,-1,-22.3,2,2024-09,738.07,7033.74,2024-09,2354.19,274.05,2024-09,24.66,18.14,1.35,3.89,2,2024-03,0.4,18.1,18.63,0,3383,0,1868.5,121.37,,"526161,",1,
Kanco Tea & Industries Ltd.,KANCOTEA,Tea/Coffee,Tea/Coffee,45.93,BSE,0,91.92,91.92,0,,,0,2,2024-09,42.07,87.62,2024-09,63.25,-6.92,2024-09,0,0,,0.62,2,2024-03,0.56,-12.33,-5.84,0,0,0,0,0,,,1,
Tecil Chemicals & Hydro Power Ltd.,TECILCHEM,Chemicals,Chemicals,44.03,NSE,12.34,27.25,12.34,4551,4.81,-5,-0.65,1,2024-09,13.48,57.47,2024-09,0,-0.36,2024-09,0,0,0,-2.25,1,2024-03,-0.68,0,0,0,42.16,0,11,-0.19,,,1,
Neelamalai Agro Industries Ltd.,NEAGI,Tea/Coffee,Tea/Coffee,265.14,BSE,0,4252,4252,0,-0.24,-0.24,0,2,2024-09,,263.68,2024-09,25.13,4.65,2024-09,9.52,9.52,0.87,0.93,2,2024-3,0,5.83,6.61,0,0,0,0,0,,"SUMIT,",1,
Teerth Gopicon Ltd.,TGL,Engineering - Construction,Engineering - Construction,716.62,NSE,0,608,608,0,1.81,3.69,0.14,1,2024-09,16.18,732.8,2024-03,104.92,11.56,2024-03,61.99,61.99,,11.25,1,2024-03,0.7,84.13,75.33,0,0,0,0,-141.59,,"513528,",1,
Octavius Plantations Ltd.,OCTAVIUSPL,Tea/Coffee,Tea/Coffee,24.6,BSE,0,82.9,82.9,0,1.1,1.1,0,1,2024-09,,24.6,2024-09,37.62,1.61,2024-09,15.26,15.26,,1.33,1,2023-03,0.09,12.27,15.92,0,0,0,0,0,,,1,
Retro Green Revolution Ltd.,RGRL,Tea/Coffee,Tea/Coffee,35.26,BSE,0,9.21,9.21,0,-0.75,-0.75,0,1,2024-09,0.48,35.74,2024-09,2.26,0.41,2024-09,86.01,86.01,0.79,0.93,1,2024-03,0.04,5.54,5.33,0,0,0,0,0,,"532070,",1,
Shri Vasuprada Plantations Ltd.,VASUPRADA,Tea/Coffee,Tea/Coffee,108.82,BSE,0,134,134,0,2.02,2.02,0,2,2024-09,59.77,168.19,2024-09,114.24,-2.27,2024-09,0,0,0,0.94,2,2024-03,0.48,-5.33,-0.98,0,0,0,0,0,,"532872,",1,
Tega Industries Ltd.,TEGA,Engineering - Industrial Equipments,Engineering - Industrial Equipments,10246.13,NSE,1666.2,1544.15,1666.2,32429,0.39,-1.68,-28.5,2,2024-09,219.6,10369.34,2024-09,1540.46,164.03,2024-09,60.6,55.16,,8.19,2,2024-03,0.2,17.3,20.03,0,2125,0,1200.05,30.21,,"HINDMOTORS,",1,
Tejas Networks Ltd.,TEJASNET,Telecommunication - Equipment,Telecommunication - Equipment,21300.96,NSE,435.5,1211.3,435.5,3475371,-0.13,-3.2,-14.4,2,2024-09,2768.27,23941.59,2024-09,6260.87,454.57,2024-09,46.86,46.86,-3,5.72,2,2024-03,0.58,2.13,3.77,0,914.4,0,294,-43.54,,,1,
Tembo Global Industries Ltd.,TEMBO,Engineering - Industrial Equipments,Engineering - Industrial Equipments,979.85,NSE,500.5,880,500.5,32339,-0.28,-1.42,-7.2,2,2024-09,228.18,1208.03,2024-09,529.28,26.15,2024-09,36.18,9.27,,16.53,2,2023-03,1.04,18.05,15.45,0,837,0,386,54,,"HINDOILEXP,",1,
Tera Software Ltd.,TERASOFT,IT - Software,IT - Software,237.1,NSE,326,191.69,326,30345,0.89,-3.74,-12.65,2,2024-09,28.88,265.98,2024-09,94.06,6.83,2024-09,34.72,19.55,,2.02,2,2024-03,0.3,3.06,6.46,0,598,0,184.1,16.68,,"OMINFRAL,",1,
Tyroon Tea Company Ltd.,TYROON,Tea/Coffee,Tea/Coffee,41.18,BSE,0,125,125,0,3.26,3.26,0,1,2024-09,4.45,45.22,2024-09,38.09,2.46,2024-09,16.73,16.73,0.52,0.88,1,2024-03,0.15,8.31,9.76,0,0,0,0,0,,"530795,",1,
Warren Tea Ltd.,WARRENTEA,Tea/Coffee,Tea/Coffee,68.76,BSE,0,57.71,57.71,0,0.3,0.3,0,2,2024-09,,65.22,2024-09,0,-1.83,2024-09,0,0,0,0.73,2,2024-03,0,-0.91,-0.24,0,0,0,0,0,,"SUNDRMBRAK,",1,
Bondada Engineering Ltd.,BONDADA,Telecom-Infrastructure,Telecom-Infrastructure,6612.39,BSE,0,609.95,609.95,0,-0.37,-0.37,0,1,2024-09,100.68,6671.07,2024-03,741.42,40.61,2024-03,162.82,162.82,,42.1,2,2024-03,0.39,38.48,36.41,0,0,0,0,0,,,1,
Texmaco Infrastructure & Holdings Ltd.,TEXINFRA,Construction - Real Estate,Construction - Real Estate,1678.21,NSE,88,132.07,88,43178,0.3,-1.11,-0.99,2,2024-09,23.62,1699.69,2024-09,15.88,4.19,2024-09,281.11,97.77,-10.22,0.94,2,2024-03,0.02,0.37,0.47,0,113.03,0,82.5,0.9,,"538922,",1,
Texmaco Rail & Engineering Ltd.,TEXRAIL,Railways Wagons,Railways Wagons,7879.49,NSE,89.7,200.39,89.7,1299666,1.51,-3.55,-3.31,2,2024-09,913.85,8597.17,2024-09,4278.6,164.12,2024-09,42.59,20.4,5.03,2.98,2,2024-03,0.25,4.99,10.79,0,189,0,87.15,4.4,,,1,
Texmo Pipes And Products Ltd.,TEXMOPIPES,Plastic Products,Plastic Products,195.43,NSE,41,66.69,41,12792,-0.61,-1.95,-0.82,2,2024-09,45.25,227.82,2024-09,390.26,3.32,2024-09,49.19,6.62,2.1,1.39,2,2024-03,0.33,3.59,11.64,0,68.99,0,40.01,6.2,,"SANGAMIND,",1,
ADC India Communications Ltd.,ADCINDIA,Telecommunication - Equipment,Telecommunication - Equipment,754.72,BSE,0,1623.85,1623.85,0,-1.03,-1.03,0,1,2024-09,,705.12,2024-09,185.61,29,2024-09,26.02,26.02,0.91,10.38,1,2024-03,0,33.68,45.22,0,0,0,0,0,,"SUNDRMFAST,",1,
TGB Banquets And Hotels Ltd.,TGBHOTELS,"Hotel, Resort & Restaurants","Hotel, Resort & Restaurants",40.59,NSE,8.75,14,8.75,5311,1.01,-0.46,-0.04,1,2024-09,4.11,44.7,2024-09,35.34,-3.56,2024-09,0,13.06,0,0.54,1,2024-03,0.07,-4.69,-2.08,0,14.3,0,7.52,0.67,,"544015,",1,
Thaai Casting Ltd.,TCL,Castings/Forgings,Castings/Forgings,335.38,NSE,0,140.8,140.8,7232519,-2.9,-2.8,-0.4,1,2024-09,53.72,389.1,,,,2024-03,31.46,90.46,,4.64,2,2024-03,0.63,14.76,14.71,0,0,0,0,0.15,,"AVANTIFEED,",TRUE,
Thangamayil Jewellery Ltd.,THANGAMAYL,Diamond & Jewellery,Diamond & Jewellery,5590.46,NSE,3382.5,2069,3382.5,45604,1.41,-3.48,-121.7,1,2024-09,771.08,6184.96,2024-09,4281.77,95.36,2024-09,58.62,43.13,1.81,10.83,1,2024-03,0.95,27.95,21.42,0,4149,0,1700,78.42,,"530643,",1,
The Andhra Sugars Ltd.,ANDHRSUGAR,Chemicals,Chemicals,1348.31,NSE,68.62,98.66,68.62,120216,-0.96,-2.53,-1.78,2,2024-09,23.57,1324.76,2024-09,1892.73,32.94,2024-09,24.71,11.03,-1.53,0.85,2,2024-03,0.02,3.48,4.43,0,86.7,0,65.1,6.22,,,1,
The Anup Engineering Ltd.,ANUP,Engineering - Industrial Equipments,Engineering - Industrial Equipments,7092.77,NSE,1646.7,3538.1,1646.7,54150,-0.13,-0.66,-11,2,2024-09,17.89,7102.19,2023-09,523.66,73.63,2023-09,96.34,28.68,,12.93,2,2023-03,0.08,12.41,16.77,0,3633.05,0,1422.3,57.43,,"GAEL,",1,
Maestros Electronics & Telecommunications Systems Ltd.,METSL,Telecommunication - Equipment,Telecommunication - Equipment,128.99,BSE,0,232,232,0,-0.9,-0.9,0,1,2024-09,2.39,99.81,2024-09,33.54,5.03,2024-09,25.67,25.67,0.36,3.93,1,2024-03,0.18,17.6,23.26,0,0,0,0,0,,"544001,",1,
Punjab Communications Ltd.,PUNJCOMMU,Telecommunication - Equipment,Telecommunication - Equipment,67.06,BSE,0,56,56,0,0.41,0.41,0,1,2024-09,,17.14,2024-09,17.74,11.31,2024-09,5.93,5.93,-84.68,2.57,1,2024-03,0,42.82,44.88,0,0,0,0,0,,"SUNLITE,",1,
Quadrant Televentures Ltd.,QUADRANT,Telecommunication - Equipment,Telecommunication - Equipment,74.7,BSE,0,1.16,1.16,0,-4.92,-4.92,0,1,2024-09,2041.03,2111.9,2024-09,251.55,-121.9,2024-09,0,0,0,-0.03,1,2024-03,-0.71,0,0,0,0,0,0,0,,"SUNREST,",1,
The Byke Hospitality Ltd.,BYKE,"Hotel, Resort & Restaurants","Hotel, Resort & Restaurants",501.88,NSE,32.32,95.02,32.32,112020,-0.48,-4.41,-1.49,1,2024-09,5.6,492.78,2024-09,87.81,6.04,2024-09,83.13,29.11,37.62,2.25,1,2024-03,0.07,3.18,5.71,0,100.8,0,32.2,1.11,,"539220,",1,
The Federal Bank Ltd.,FEDERALBNK,Bank - Private,Bank - Private,50562.55,NSE,266.55,206.09,266.55,6965546,-0.02,-1.8,-4.9,2,2024-09,26157.68,4180.11,2024-09,12.24,0.51,1.55,2,16.15,2024-03,15.04,1,2024-03,0.6,2.87,10.6,0,302,0,180.56,16.5,,"AMRUTANJAN,",TRUE,
The Fertilisers And Chemicals Travancore Ltd.,FACT,Fertilizers,Fertilizers,65134.26,NSE,793.75,978.05,793.75,0,-2.76,0.09,0.01,2,2024-09,1775.59,64302.04,2024-09,4207.36,-68.37,2024-09,0,50.85,0,49.97,2,2024-03,0.94,11.03,11.05,0,1112,0,565,0.21,,"531129,",1,
Telogica Ltd.,TELOGICA,Telecommunication - Equipment,Telecommunication - Equipment,72.35,BSE,0,22,22,0,-3.93,-3.93,0,1,2024-09,2.26,74.61,2024-09,21.07,1.88,2024-09,38.55,38.55,2.48,17.71,1,2024-03,-0.81,0,0,0,0,0,0,0,,"SUNTECK,",1,
The Great Eastern Shipping Company Ltd.,GESHIP,Shipping,Shipping,13960.49,NSE,1440,984.25,1440,299371,0.59,-0.08,-1.2,2,2024-09,2774.34,11456.09,2024-09,5605.09,2830.76,2024-09,4.93,9.1,0.03,1.03,2,2024-03,0.24,23.06,20.18,0,1509,0,802.25,158.09,,"SIGNATURE,",1,
Valiant Communications Ltd.,VALIANT,Telecommunication - Equipment,Telecommunication - Equipment,456.81,BSE,0,608,608,0,1.53,1.53,0,2,2024-09,1.84,431.72,2024-09,51.95,9.8,2024-09,46.63,46.63,0.66,7.89,2,2024-03,0.03,14.64,19.31,0,0,0,0,0,,"530883,",1,
The Grob Tea Company Ltd.,GROBTEA,Tea/Coffee,Tea/Coffee,149.24,NSE,915,1321.95,915,146,2.96,-0.79,-7.3,1,2024-09,17.48,163.6,2024-09,124.9,17.08,2024-09,8.74,19,,1.39,1,2024-03,0.12,-0.01,1.35,0,1359.9,0,807.3,48.15,,"542025,",1,
The Hi-Tech Gears Ltd.,HITECHGEAR,Auto Ancillary,Auto Ancillary,1508.45,NSE,602.5,838,602.5,1886,2.14,-2.29,-14.1,2,2024-09,139.11,1598.75,2024-09,1066.8,56.52,2024-09,26.69,50.24,3.69,3.08,2,2024-03,0.64,27.88,22.29,0,897.45,0,530,11.99,,"531156,",TRUE,
The India Cements Ltd.,INDIACEM,Cement & Construction Materials,Cement & Construction Materials,11693.97,NSE,357,376.85,357,89730,-0.04,-3.5,-12.95,2,2024-09,2130.54,13824.51,2024-09,4469.67,-324.46,2024-09,0,0,,2.42,2,2024-03,0.51,-4.12,-0.25,0,485.8,0,253,-3.55,,,FALSE,
Steelman Telecom Ltd.,STML,Telecommunication - Service Provider,Telecommunication - Service Provider,152.88,BSE,0,158,158,0,,,0,1,2024-09,24.37,177.25,2024-03,189.39,7.32,2024-03,20.87,20.87,,3.24,2,2024-03,1.47,-35.92,-9.28,0,0,0,0,0,,"SUPERHOUSE,",1,
The Indian Hotels Company Ltd.,INDHOTEL,"Hotel, Resort & Restaurants","Hotel, Resort & Restaurants",125126.8,NSE,615.5,874.7,615.5,810078,-0.55,-3.36,-21.4,2,2024-09,282.28,123679.5,2024-09,7245.53,1638.5,2024-09,74.81,43.65,2.15,12.32,2,2024-03,0.03,13.78,20.37,0,858,0,595,14.1,,"MIDHANI,",1,
City Online Services Ltd.,CITYONLINE,Telecommunication - Service Provider,Telecommunication - Service Provider,4.19,BSE,0,8.2,8.2,0,0.99,0.99,0,1,2024-09,1.03,3.72,2024-09,8.75,0.34,2024-09,12.33,12.33,1.04,-14.78,1,2024-03,-3.83,0,24.96,0,0,0,0,0,,"519234,",1,
The Investment Trust of India Ltd.,THEINVEST,Finance - NBFC,Finance - NBFC,1031.78,NSE,97.51,198.61,97.51,6185,0.24,-2.23,-2.22,2,2024-09,33.88,2024-09,24.39,-2.02,1.49,2,2024-03,17.17,0.54,3.09,6.91,"THEINVEST,",,,,0,184.17,0,90.01,5.68,,"507474,",1,
The Jammu & Kashmir Bank Ltd.,J&KBANK,Bank - Private,Bank - Private,11132.95,NSE,119.74,101.44,119.74,3840841,0.33,-3.08,-3.81,2,2024-09,11909.57,2030.99,2024-09,5.49,0.18,0.92,2,6.16,2024-03,18.12,1,2024-03,0.79,3.8,11.96,0,128.48,0,87.3,19.46,,,FALSE,
The Karnataka Bank Ltd.,KTKBANK,Bank - Private,Bank - Private,8060.47,NSE,231.39,212.94,231.39,3973272,-0.22,-0.02,-0.05,2,2024-09,8825.29,1342.31,2024-09,6,,0.73,2,7.58,2024-03,14.48,1,2024-03,1.58,3.18,11.6,0,238.24,0,167.55,30.51,,"542721,",TRUE,
The Motor & General Finance Ltd.,MOTOGENFIN,Finance - NBFC,Finance - NBFC,117.81,NSE,20.04,30.2,20.04,2506,-0.46,-4.07,-0.85,2,2024-09,2.13,2024-09,56.34,3.08,2.37,2,2024-03,58.49,0.03,2.39,3.16,"MOTOGENFIN,",,,,0,31.8,0,18.3,0.34,,,1,
The New India Assurance Company Ltd.,NIACL,Insurance,Insurance,33775.76,NSE,130.64,206.93,130.64,202584,0.96,-3.07,-4.14,2,2024-09,1327.14,2024-09,24.81,1.98,1.54,2,2024-03,18.01,0,6.74,8.25,"NIACL,",,,,0,214.74,0,130.25,7.25,,"MRF,",1,
The Orissa Minerals Development Company Ltd.,ORISSAMINE,Mining & Minerals,Mining & Minerals,4369.05,NSE,3521.4,7298.4,3521.4,9537,0.47,-3.56,-130,1,2024-09,,4340.28,2024-09,99.52,14.52,2024-09,300.9,300.9,20.14,-363.29,1,2024-03,0,0,33.72,0,6138.9,0,3441.1,-44.58,,"532355,",1,
The Peria Karamalai Tea And Produce Company Ltd.,PKTEA,Tea/Coffee,Tea/Coffee,227.86,NSE,810,721,810,1817,-2.04,0,0,1,2024-09,21.06,246.13,2024-09,57.55,11.74,2024-09,19.41,19.41,1.5,1.15,2,2024-03,0.11,2.86,4.16,0,1013.9,0,565,-0.75,,"SUNTV,",1,
The Phoenix Mills Ltd.,PHOENIXLTD,Construction - Real Estate,Construction - Real Estate,57436.37,NSE,1575.9,1594.75,1575.9,256017,-0.49,-3.16,-51.4,2,2024-09,4636.93,61627.61,2024-09,4114.14,1336.87,2024-09,54.35,51.74,2.31,5.75,2,2024-03,0.49,14.92,15.27,0,1993,0,1402.5,30.46,,"COUNCODOS,",1,
The Ramco Cements Ltd.,RAMCOCEM,Cement & Construction Materials,Cement & Construction Materials,23307.88,NSE,954.8,986,954.8,53614,0.02,-2.98,-29.3,2,2024-09,5203.72,28369.45,2024-09,8926.8,274.1,2024-09,84.33,39.23,-12.48,3.22,2,2024-03,0.68,5.58,8.15,0,1214.5,0,840.8,24.34,,,FALSE,
The Ruby Mills Ltd.,RUBYMILLS,Textile,Textile,897.03,NSE,200,270.95,200,6556,0.91,-0.57,-1.15,1,2024-09,207.24,1098.33,2024-09,228.29,38.89,2024-09,23.07,13.78,1.15,1.48,1,2024-03,0.35,7.68,7.48,0,269,0,169.02,14.51,,50.51,1,
Richa Industries Ltd.,RICHAIND,Textile,Textile,3.84,BSE,0,1.72,1.72,0,4.88,4.88,0,1,2024-03,378.49,381.69,2018-09,124.19,-169.43,2024-03,0,0,,-0.01,1,2024-03,-1.22,0,-21.88,0,0,0,0,0,,"SUPRIYA,",1,
The Sandesh Ltd.,SANDESH,Printing And Publishing,Printing And Publishing,1230.45,NSE,926.2,1647,926.2,387,1.65,-1.26,-11.8,2,2024-09,,1194.6,2024-09,316.37,218.28,2024-09,5.64,6.39,0.24,0.91,2,2024-03,0,16.28,20.81,0,1438.5,0,920,144.84,,,1,
The South Indian Bank Ltd.,SOUTHBANK,Bank - Private,Bank - Private,6789.28,NSE,36.57,26.59,36.57,9502303,2.47,-1.61,-0.6,2,2024-09,9127.89,1211.4,2024-09,5.6,,0.72,2,6.89,2024-03,13.81,1,2024-03,1.46,2.97,11.03,0,46.84,0,22.3,5.31,,"ANANTRAJ,",TRUE,
The State Trading Corporation Of India Ltd.,STCINDIA,Trading,Trading,933.9,NSE,105.95,158.03,105.95,180776,1.53,-7.49,-8.58,2,2024-09,1981.26,2914.27,2024-09,0,48.11,2024-09,19.41,0.99,1.1,-0.17,2,2024-03,-0.36,0,0,0,168.45,0,98.68,106.94,,"544219,",1,
The Ugar Sugar Works Ltd.,UGARSUGAR,Sugar,Sugar,747.79,NSE,36.85,66.62,36.85,121027,0.5,-0.35,-0.13,1,2024-09,371.46,1096.64,2024-09,1402.01,-8.38,2024-09,0,22.1,,4.71,2,2023-03,1.57,60.16,29.62,0,52.5,0,33.75,1.67,,"STYLAMIND,",1,
The United Nilgiri Tea Estates Company Ltd.,UNITEDTEA,Tea/Coffee,Tea/Coffee,279.83,NSE,511.65,565.05,511.65,965,0.89,-3.88,-20.65,1,2024-09,,271.59,2024-09,93.44,17.49,2024-09,16,11.56,3.69,1.31,1,2024-03,0,8.2,10.46,0,589,0,372.2,44.24,,"539526,",1,
The Western Indian Plywoods Ltd.,WIPL,Laminates/Decoratives,Laminates/Decoratives,207.93,NSE,147.2,241,147.2,108,-1.63,-3.2,-4.9,2,2024-09,16.25,217,2024-09,113.17,2.98,2024-09,69.78,56.17,3,4.68,2,2024-03,0.44,8.01,10.29,0,193.2,0,133.1,2.63,,"ORIANA,",1,
Thejo Engineering Ltd.,THEJO,Engineering,Engineering,2252.67,NSE,1580,2081.75,1580,2690,0.22,-0.01,-0.1,2,2024-09,12.59,2197.16,2024-09,554.66,54.25,2024-09,43.89,35.24,1.45,8.32,2,2024-03,0.06,26.81,34.85,0,2485.8,0,1446,44.83,,"GENSOL,",1,
Themis Medicare Ltd.,THEMISMED,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,2493.37,NSE,75.41,268.7,75.41,232123,-1.16,-2.9,-2.25,2,2024-09,81.45,2557.22,2024-09,420.34,33.65,2024-09,47.05,47.05,1.09,6.05,2,2024-03,0.25,12.14,13.88,0,176,0,74.01,-1.89,,"543590,",1,
Thermax Ltd.,THERMAX,Engineering - Industrial Equipments,Engineering - Industrial Equipments,48379.25,NSE,3292.6,4145.2,3292.6,222402,2.15,0.42,13.8,2,2024-09,1451.98,49064.47,2024-09,9884.04,732.69,2024-09,65.24,54.4,7.91,10.47,2,2024-03,0.28,15.5,18.44,0,4091.8,0,2742.7,60.52,,"500449,",1,
Thinking Hats Entertainment Solutions Ltd.,THESL,"Film Production, Distribution & Entertainment","Film Production, Distribution & Entertainment",57.69,NSE,0,48.5,48.5,0,4.98,4.98,0,1,2024-09,2.94,60.63,,,,2024-03,18.66,18.66,,1.66,1,2024-03,0.49,36.96,37.29,0,0,0,0,0,,"INDOTECH,",1,
Thirumalai Chemicals Ltd.,TIRUMALCHM,Chemicals,Chemicals,3401.33,NSE,172.8,334.25,172.8,618883,0.59,-5.77,-10.56,2,2024-09,1303.34,4289.24,2024-09,2098.22,-33.46,2024-09,0,0,,2.81,2,2024-03,1.01,-3.32,0.36,0,328.8,0,158,-14.22,,"532123,",1,
Thomas Cook (India) Ltd.,THOMASCOOK,Travel Services,Travel Services,9254.74,NSE,99.4,196.59,99.4,2784499,-0.54,1.71,1.66,2,2024-09,258.03,8027.41,2024-09,7666.65,290.74,2024-09,33.14,19.17,1.32,6.03,2,2024-03,0.15,20.93,27.42,0,188.29,0,86.35,5.18,,"WIPRO,",1,
Thomas Scott (India) Ltd.,THOMASCOTT,Retailing,Retailing,542.57,NSE,251.05,489.45,251.05,38294,1.99,-4.18,-10.95,1,2024-09,18.84,561.06,2024-09,115.38,10.62,2024-09,51.11,22.64,0.86,8.49,1,2024-03,0.14,36.15,31.24,0,459.8,0,236.9,11.09,,"SVLL,",1,
Shanti Spintex Ltd.,SHANTIDENM,Textile,Textile,115.77,BSE,0,68.55,68.55,0,,,0,1,2024-09,19.74,135.51,2024-03,505.83,13.02,2024-03,8.89,8.89,,1.34,1,2024-03,0.26,18.25,20.45,0,0,0,0,0,,"514138,",1,
Thyrocare Technologies Ltd.,THYROCARE,Hospital & Healthcare Services,Hospital & Healthcare Services,4809.8,NSE,365,911.35,365,136095,0.29,-2.05,-7.65,2,2024-09,0.12,4755.87,2024-09,623.26,83.02,2024-09,57.28,41.94,-15.78,9.85,2,2024-03,0.04,13.21,18.75,0,536.67,0,219.57,8.7,,"526301,",1,
Tijaria Polypipes Ltd.,TIJARIA,Rubber Products,Rubber Products,33.58,NSE,4.4,11.36,4.4,72747,-2.07,-4.76,-0.22,1,2024-09,72.41,104.2,2024-09,0.11,-2.95,2024-09,0,0,,-1.17,1,2024-03,-2.67,0,-5.95,0,10.35,0,3.55,-1.43,,"542019,",1,
TIL Ltd.,TIL,Construction Vehicles,Construction Vehicles,2046.35,NSE,189.58,307.75,189.58,2,-0.74,-2.68,-0.23,2,2024-09,215.47,2253.15,2024-09,178.11,270.1,2024-09,7.58,7.58,,26.75,2,2024-03,4.98,0,150.37,0,409,0,177.04,-11.39,,"531909,",1,
Tilaknagar Industries Ltd.,TI,Breweries & Distilleries,Breweries & Distilleries,8575.08,NSE,439.55,446.1,439.55,146657,0.73,-7.33,-0.33,2,2024-09,92.37,8602.3,2024-09,3056.29,173.54,2024-09,49.41,22.35,2.09,11.49,2,2024-03,0.18,24.78,21.83,0,549.7,0,199.53,0.19,,"ARVIND,",TRUE,
